//INGRESO
2022/08/17;08:00;24.321.441-6
2022/08/18;08:01;24.321.441-6
2022/08/19;08:01;24.321.441-6
2022/08/22;08:07;24.321.441-6
2022/08/23;08:03;24.321.441-6
2022/08/24;08:05;24.321.441-6
2022/08/25;08:08;24.321.441-6
2022/08/26;08:10;24.321.441-6
2022/08/29;08:09;24.321.441-6
2022/08/30;08:03;24.321.441-6
2022/08/31;08:03;24.321.441-6
2022/09/01;08:01;24.321.441-6
2022/09/02;08:00;24.321.441-6
2022/09/05;08:01;24.321.441-6
2022/09/06;08:03;24.321.441-6
2022/09/07;08:00;24.321.441-6
2022/09/08;08:00;24.321.441-6
2022/09/09;08:03;24.321.441-6
2022/09/12;08:01;24.321.441-6
2022/09/13;08:00;24.321.441-6
2022/09/14;08:00;24.321.441-6
2022/09/15;08:30;24.321.441-6
2022/09/16;08:01;24.321.441-6

//SALIDA
//24.321.441-6 -> autorizado con 3 horas extras

2022/08/17;18:00;24.321.441-6
2022/08/18;18:00;24.321.441-6
2022/08/19;20:00;24.321.441-6
2022/08/22;18:00;24.321.441-6
2022/08/23;18:00;24.321.441-6
2022/08/24;18:00;24.321.441-6
2022/08/25;18:00;24.321.441-6
2022/08/26;18:00;24.321.441-6
2022/08/29;18:00;24.321.441-6
2022/08/30;19:00;24.321.441-6
2022/08/31;18:00;24.321.441-6
2022/09/01;18:00;24.321.441-6
2022/09/02;18:00;24.321.441-6
2022/09/05;18:02;24.321.441-6
2022/09/06;18:00;24.321.441-6
2022/09/07;18:00;24.321.441-6
2022/09/08;18:03;24.321.441-6
2022/09/09;18:00;24.321.441-6
2022/09/12;18:00;24.321.441-6
2022/09/13;18:06;24.321.441-6
2022/09/14;18:00;24.321.441-6
2022/09/15;18:00;24.321.441-6
2022/09/16;18:00;24.321.441-6
